genero,nome,data_nascimento,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,salario_bruto
F,ADRIANA MIGUEL VENTURA,06/03/1969,32744.36,91.69,11201.41,6.17,12078.93,2012.14,3326.52,2525.67,464.61,481.48,555.74,0.0,0.0,458319.07000000007,46239.34,47876.22,45155.54,47484.47,50501.69,47810.2,53606.39,43951.57,36862.01,38831.64,0.0,0.0,92,0,0,75,0,0,33763.0
F,BEATRIZ KICIS TORRENTS DE SORDI,19/09/1961,217096.59999999998,25190.49,25724.28,26105.29,27799.7,29874.33,15473.15,16116.39,14243.78,13146.49,22163.74,1258.96,0.0,1114049.3,111271.47,111271.47,111271.47,111271.47,111271.47,111538.39,111538.39,111538.39,111538.39,111538.39,0.0,0.0,89,3,0,56,7,4,33763.0
F,ALINE PARANHOS VARONIL GURGEL,25/11/1980,425828.0,42916.79,55902.66,41953.93,40253.23,74755.05,10460.16,40552.36,44238.07,50064.19,24731.56,0.0,0.0,1109475.15,111429.18,111160.99,111429.2,111429.2,111429.2,111429.2,111429.2,111429.2,109688.29,108621.49,0.0,0.0,78,14,3,16,34,27,33763.0
F,ALESSANDRA SILVA RIBEIRO,04/07/1974,256412.0,21847.22,26068.76,54557.47,38257.92,39369.73,21249.25,15093.79,19228.94,15225.62,5513.3,0.0,0.0,757373.84,73391.76,71163.83,70424.23,71271.43,75507.41,78795.1,74373.3,79377.41,79377.41,83691.96,0.0,0.0,82,10,4,54,20,10,33763.0
F,ÁUREA CAROLINA DE FREITAS E SILVA,20/11/1983,297751.16,15477.79,17211.99,32300.99,50919.99,47628.8,36660.42,25545.07,22852.05,27143.68,22010.38,0.0,0.0,1106538.0999999999,110482.87,110320.03,111502.08,111502.08,111502.08,111499.25,111417.08,111417.08,111417.08,105478.47,0.0,0.0,75,17,0,22,10,5,33763.0
F,ALINE SLEUTJES,26/07/1979,266844.87,18718.1,42340.7,44589.79,28504.61,62024.69,25909.67,20829.47,10742.51,4466.72,8102.19,616.42,0.0,1047581.56,108562.89,107823.39,108054.31,102862.93,104407.0,105903.3,107141.12,104241.48,105514.93,93070.21,0.0,0.0,81,11,0,25,12,5,33763.0
F,ALICE MAZZUCO PORTUGAL,16/05/1959,380746.29,64843.86,35974.1,45630.28,30967.04,44643.22,33926.95,26133.78,37427.88,27482.05,33668.9,48.23,0.0,1103738.12,109364.13,110762.68,110837.35,110137.04,110137.04,110137.04,110137.04,110131.96,111046.92,111046.92,0.0,0.0,91,1,1,70,28,28,33763.0
F,ANGELA REGINA HEINZEN AMIN HELOU,20/12/1953,335539.85000000003,32420.59,44149.4,54673.99,50177.8,45917.82,36925.47,34965.84,19369.26,7069.38,9738.31,131.99,0.0,1087642.7399999998,108469.01,109010.6,110962.23,109111.95,109111.95,108914.61,107061.71,107061.71,107061.71,110877.26,0.0,0.0,88,4,0,61,1,0,33763.0
F,BENEDITA SOUZA DA SILVA SAMPAIO,26/04/1942,278916.75,27548.63,36708.62,32332.8,38159.47,42904.22,28769.87,17965.43,15365.95,9555.15,28558.54,1048.07,0.0,1114575.79,111495.9,111448.24,111228.98,111228.98,111228.98,111354.55,111647.54,111647.54,111647.54,111647.54,0.0,0.0,45,47,0,22,33,15,33763.0
F,BRUNA DIAS FURLAN VICENTE,28/04/1983,77114.78,12812.15,15234.17,17325.26,17939.4,283.61,5769.8,6302.2,1448.19,0.0,0.0,0.0,0.0,986727.2500000001,102008.81,103337.22,104665.63,85126.66,89553.78,105191.41,111416.96,104020.17,87826.95,93579.66,0.0,0.0,39,4,4,0,0,0,33763.0
F,CAROLINE RODRIGUES DE TONI,01/09/1986,108667.23,1577.63,10066.51,14101.09,11285.98,24174.38,15473.46,14468.42,7103.83,3096.89,5223.46,2095.58,0.0,910528.01,84266.39,86627.52,88148.33,92593.08,96367.63,96367.63,93146.11,92800.95,92800.95,87409.42,0.0,0.0,91,1,1,45,12,11,33763.0
